chunk_id,doc_id,source,title,url,text
21,18,PubMed,"Parkinson's disease: epidemiology, (differential) diagnosis, therapy, relation to dementia.",https://pubmed.ncbi.nlm.nih.gov/7763330/,"kinson's disease. Finally, a new imaging technique based on the visualisation of dopamine uptake sites in the striatum by single photon computed emission tomography is presented. This technique may allow to diagnose Parkinson's disease in the very early clinical and may be even preclinical phase."
22,19,PubMed,The use of nonhuman primate models to understand processes in Parkinson's disease.,https://pubmed.ncbi.nlm.nih.gov/28357564/,"Research with animal models has led to critical health advances that have saved or improved the lives of millions of human beings. Specifically, nonhuman primate's genetic and anatomo-physiological similarities to humans are especially important for understanding processes like Parkinson's disease, which only occur in humans. Unambiguously, the unique contribution made by nonhuman primate research to our understanding of Parkinson's disease is widely recognized. For example, monkeys with 1-methyl-4-phenyl-1,2,3,6-tetrahydropyridine (MPTP) parkinsonisms are responsive to dopamine replacement therapies, mimicking what is seen in PD patients. Moreover, groundbreaking neuroanatomical and electrophysiological studies using this monkey model in the 1980s and 1990s enabled researchers to identify the neuronal circuits responsible for the cardinal motor features of PD. This led to the developmen"
23,19,PubMed,The use of nonhuman primate models to understand processes in Parkinson's disease.,https://pubmed.ncbi.nlm.nih.gov/28357564/,"he 1980s and 1990s enabled researchers to identify the neuronal circuits responsible for the cardinal motor features of PD. This led to the development of subthalamic surgical ablation and deep brain stimulation, the current therapeutic gold standard for neurosurgical treatment. More recently, the mechanisms of α-synuclein spreading testing the prion hypothesis for PD have yielded exciting results. In this review, we discuss and highlight how the findings from nonhuman primate research contribute to our understanding of idiopathic Parkinson's disease."
24,20,PubMed,The hunt for a cure for Parkinson's disease.,https://pubmed.ncbi.nlm.nih.gov/14602952/,"Several exciting new scientific advances have been made in the past decade toward both understanding the causes of and finding a cure for Parkinson's disease. Heartened by an acceleration in research findings in the past several years, the government has recently called for an infusion of funds from both the National Institutes of Health and private foundations into this burgeoning area of biomedical research. Most currently available conventional treatments for the disease only temporarily delay symptom presentation while doing nothing to halt disease progression. However, the rapidly accelerating pace of research in this field has left researchers hopeful that Parkinson's will be the first major age-related neurodegenerative disease for which we have a viable cure. In this article, advances in various areas of Parkinson's disease research are reviewed."
25,20,PubMed,The hunt for a cure for Parkinson's disease.,https://pubmed.ncbi.nlm.nih.gov/14602952/,"hich we have a viable cure. In this article, advances in various areas of Parkinson's disease research are reviewed."
26,21,PubMed,"Parkinson's disease: clinical features, epidemiology and genetics.",https://pubmed.ncbi.nlm.nih.gov/11532644/,"Genetic and epidemiological studies are critical to understanding the etiology of Parkinson's Disease (PD), and may lead to rational treatments for the disease. This article reviews the clinical features, epidemiology and genetics of PD, with emphasis on insights from recent genetic and epidemiological studies."
27,22,PubMed,[Depression in Parkinson disease. A literature review].,https://pubmed.ncbi.nlm.nih.gov/8181790/,"Depressive disorders occur in Parkinson's disease in about 40%. They often manifest--not seldom preceding diagnosis of Parkinson's syndrome--like monopolar depression. Their cause has not yet been explained in a satisfactory way. Neurotransmitter disturbances are discussed as well as psychogenic factors. There seems to be a subtype of Parkinson's disease with more frequent depression, which is characterized by increased rigidity and bradykinesia, lower age at onset and family history of Parkinson's disease. Especially antidepressants, but also sleep deprivation and electroconvulsive therapy are efficient. The review is illustrated by a case report."
28,23,PubMed,A definition of Parkinson's disease.,https://pubmed.ncbi.nlm.nih.gov/15885627/,"We are now entering a period when the process of unraveling the puzzles of 'Parkinson's Disease' has generated a mass of information that does not fit into our traditional concepts. Having split off 'Progressive Supranuclear Palsy' and 'Multiple System Atrophy', we are faced with the dilemma of what to do with the various forms of Parkinsonism caused by a number of different mutations, and how to interpret pathological heterogeneity. Faced with these new questions, it is time to reconsider how 'Parkinson's Disease' is to be defined."
29,24,PubMed,Understanding Parkinson's disease.,https://pubmed.ncbi.nlm.nih.gov/17518075/,This article describes the signs and symptoms of Parkinson's disease and the complications that arise as the condition progresses. Motor and non-motor symptoms are discussed as well as the problems that patients experience on admission to hospital. The complexities of medication management--including issues of concordance--are outlined and advice is given on how nurses can help patients and their carers to manage this condition.
30,25,PubMed,Clinical diagnosis of Parkinson's disease. Proposal of diagnostic subgroups classified at different levels of confidence.,https://pubmed.ncbi.nlm.nih.gov/8042440/,"The objective of this paper is to evaluate the accuracy of conventional diagnostic criteria for Parkinson's disease and give an overview of alternative causes to parkinsonian syndromes. We also propose a new approach to the clinical diagnosis of Parkinson's disease, which may improve the diagnostic accuracy. The available information on autopsy findings in patients clinically diagnosed as Parkinson's disease shows that 20 to 30% of these patients do not have the typical neuropathological features with Lewy bodies and cell loss in the substantia nigra. The use of selected additional clinical criteria improves the diagnostic accuracy, however, at the cost of rejecting a rather large group of patients with idiopathic disease verified by autopsy. Based on this fact and a review of the literature on parkinsonian syndromes that may be confused with idiopathic Parkinson's disease, we propose cr"
31,25,PubMed,Clinical diagnosis of Parkinson's disease. Proposal of diagnostic subgroups classified at different levels of confidence.,https://pubmed.ncbi.nlm.nih.gov/8042440/,"y. Based on this fact and a review of the literature on parkinsonian syndromes that may be confused with idiopathic Parkinson's disease, we propose criteria for diagnostic subgroups of the disease classified at different levels of confidence. The suggested diagnostic subgroups are clinical definite, probable and possible Parkinson's disease with a decreasing level of specificity and an increasing level of sensitivity in the different patient categories. The clinical features given special importance in this classification includes presence of resting tremor, asymmetrical disease, response to dopamine agonism and presence of atypical clinical features like dementia and clinical autonomic failure at onset and pyramidal or cerebellar signs at examination. In addition, a history indicating possible etiology for another parkinsonian syndrome will exclude the diagnosis."
32,25,PubMed,Clinical diagnosis of Parkinson's disease. Proposal of diagnostic subgroups classified at different levels of confidence.,https://pubmed.ncbi.nlm.nih.gov/8042440/,"examination. In addition, a history indicating possible etiology for another parkinsonian syndrome will exclude the diagnosis."
33,26,PubMed,Managing the surgical orthopaedic patient with Parkinson's disease.,https://pubmed.ncbi.nlm.nih.gov/9526407/,"Parkinson's disease is a chronic, progressive, disabling, neurologic disorder that can complicate the diagnosis, clinical course, and recovery from comorbid conditions, such as traumatic fractures. Attention to specific aspects of management ought to minimize morbidity and facilitate orthopaedic recovery, notably medication titration and airway protection, hemodynamic stability, and surveillance proportional to mental capacity. Classical orthopaedic management may have to be altered, especially if the patient has advanced neurologic disease. Optimal management of patients with combined surgical orthopaedic and neurologic disease offers the treatment team an unusual opportunity to collaborate and coordinate multiple facets of care."
34,27,PubMed,"[Psychiatric Symptoms in Parkinson's Disease: Epidemiology, Pathophysiology, and Therapeutic Strategies].",https://pubmed.ncbi.nlm.nih.gov/41558516/,"Although traditionally classified as a movement disorder due to nigrostriatal dopamine loss, Parkinson's disease also manifests a wide range of psychiatric symptoms across the disease course from prodromal phase to advanced stages. These psychiatric symptoms include depression, anxiety, apathy, impulse control disorders, hallucinations, and delusions. The emergence of psychiatric symptoms reflects the dysfunction of the dopaminergic system and multiple neurotransmitter systems (e.g., serotonergic, noradrenergic, and cholinergic systems) and disruption of large-scale brain networks. Providing optimal care requires stage- and symptom-specific strategies, such as optimizing dopaminergic therapy, judiciously using atypical antipsychotics, and considering acetylcholinesterase inhibitors when appropriate. This review summarizes the epidemiology, pathophysiology, and treatment of the psychiatri"
35,27,PubMed,"[Psychiatric Symptoms in Parkinson's Disease: Epidemiology, Pathophysiology, and Therapeutic Strategies].",https://pubmed.ncbi.nlm.nih.gov/41558516/,"onsidering acetylcholinesterase inhibitors when appropriate. This review summarizes the epidemiology, pathophysiology, and treatment of the psychiatric symptoms in Parkinson's disease, highlighting individualized management strategies that align with the underlying mechanisms."
36,28,PubMed,"MiRNAs participate in the diagnosis, pathogenesis and therapy of Parkinson's disease.",https://pubmed.ncbi.nlm.nih.gov/29135019/,"MicroRNAs (miRNAs), one kind of post-transcriptional modification, mediate transcriptional silencing of various metabolic enzymes that are involved in various life processes, including Parkinson's disease. At present, the pathogenesis of Parkinson's disease is not clear, although many studies suggest that miRNAs play a very important role in the progress of Parkinsonism. This paper reviews the biological characteristics of miRNAs and summarizes the progress of miRNAs in reference to the diagnosis and pathogenesis of Parkinson's disease. It even considers miRNAs as a potential target for Parkinson's disease therapy."
37,29,PubMed,Diagnosis and Treatment of Parkinson Disease: A Review.,https://pubmed.ncbi.nlm.nih.gov/32044947/,"Parkinson disease is the most common form of parkinsonism, a group of neurological disorders with Parkinson disease-like movement problems such as rigidity, slowness, and tremor. More than 6 million individuals worldwide have Parkinson disease. Diagnosis of Parkinson disease is based on history and examination. History can include prodromal features (eg, rapid eye movement sleep behavior disorder, hyposmia, constipation), characteristic movement difficulty (eg, tremor, stiffness, slowness), and psychological or cognitive problems (eg, cognitive decline, depression, anxiety). Examination typically demonstrates bradykinesia with tremor, rigidity, or both. Dopamine transporter single-photon emission computed tomography can improve the accuracy of diagnosis when the presence of parkinsonism is uncertain. Parkinson disease has multiple disease variants with different prognoses. Individuals wi"
38,29,PubMed,Diagnosis and Treatment of Parkinson Disease: A Review.,https://pubmed.ncbi.nlm.nih.gov/32044947/," of diagnosis when the presence of parkinsonism is uncertain. Parkinson disease has multiple disease variants with different prognoses. Individuals with a diffuse malignant subtype (9%-16% of individuals with Parkinson disease) have prominent early motor and nonmotor symptoms, poor response to medication, and faster disease progression. Individuals with mild motor-predominant Parkinson disease (49%-53% of individuals with Parkinson disease) have mild symptoms, a good response to dopaminergic medications (eg, carbidopa-levodopa, dopamine agonists), and slower disease progression. Other individuals have an intermediate subtype. For all patients with Parkinson disease, treatment is symptomatic, focused on improvement in motor (eg, tremor, rigidity, bradykinesia) and nonmotor (eg, constipation, cognition, mood, sleep) signs and symptoms. No disease-modifying pharmacologic treatments are avai"
39,29,PubMed,Diagnosis and Treatment of Parkinson Disease: A Review.,https://pubmed.ncbi.nlm.nih.gov/32044947/,"dity, bradykinesia) and nonmotor (eg, constipation, cognition, mood, sleep) signs and symptoms. No disease-modifying pharmacologic treatments are available. Dopamine-based therapies typically help initial motor symptoms. Nonmotor symptoms require nondopaminergic approaches (eg, selective serotonin reuptake inhibitors for psychiatric symptoms, cholinesterase inhibitors for cognition). Rehabilitative therapy and exercise complement pharmacologic treatments. Individuals experiencing complications, such as worsening symptoms and functional impairment when a medication dose wears off (""off periods""), medication-resistant tremor, and dyskinesias, benefit from advanced treatments such as therapy with levodopa-carbidopa enteral suspension or deep brain stimulation. Palliative care is part of Parkinson disease management. Parkinson disease is a heterogeneous disease with rapidly and slowly progre"
40,29,PubMed,Diagnosis and Treatment of Parkinson Disease: A Review.,https://pubmed.ncbi.nlm.nih.gov/32044947/,"rain stimulation. Palliative care is part of Parkinson disease management. Parkinson disease is a heterogeneous disease with rapidly and slowly progressive forms. Treatment involves pharmacologic approaches (typically with levodopa preparations prescribed with or without other medications) and nonpharmacologic approaches (such as exercise and physical, occupational, and speech therapies). Approaches such as deep brain stimulation and treatment with levodopa-carbidopa enteral suspension can help individuals with medication-resistant tremor, worsening symptoms when the medication wears off, and dyskinesias."
41,30,PubMed,Parkinson's Disease: Biomarkers for Diagnosis and Disease Progression.,https://pubmed.ncbi.nlm.nih.gov/39596444/,"Parkinson's disease (PD) is a progressive neurological disease that causes both motor and nonmotor symptoms. While our understanding of putative mechanisms has advanced significantly, it remains challenging to verify biomarkers with sufficient evidence for regular clinical use. Clinical symptoms are the primary basis for diagnosing the disease, which can be mild in the early stages and overlap with other neurological disorders. As a result, clinical testing and medical records are mostly relied upon for diagnosis, posing substantial challenges during both the initial diagnosis and the continuous disease monitoring. Recent biochemical, neuroimaging, and genetic biomarkers have helped us understand the pathophysiology of Parkinson's disease. This comprehensive study focuses on these biomarkers, which were chosen based on their relevance, methodological excellence, and contribution to the f"
42,30,PubMed,Parkinson's Disease: Biomarkers for Diagnosis and Disease Progression.,https://pubmed.ncbi.nlm.nih.gov/39596444/,"This comprehensive study focuses on these biomarkers, which were chosen based on their relevance, methodological excellence, and contribution to the field. Biochemical biomarkers, including α-synuclein and glial fibrillary acidic protein (GFAP), can predict disease severity and progression. The dopaminergic system is widely used as a neuroimaging biomarker to diagnose PD. Numerous genes and genome wide association study (GWAS) sites have been related to the development of PD. Recent research on the SNCA gene and leucine-rich repeat protein kinase 2 (LRRK2) has shown promising results. By evaluating current studies, this review intends to uncover gaps in biomarker validation and use, while also highlighting promising improvements. It emphasizes the need for dependable and reproducible indicators in improving PD diagnosis and prognosis. These biomarkers may open up new avenues for early di"
43,30,PubMed,Parkinson's Disease: Biomarkers for Diagnosis and Disease Progression.,https://pubmed.ncbi.nlm.nih.gov/39596444/,"zes the need for dependable and reproducible indicators in improving PD diagnosis and prognosis. These biomarkers may open up new avenues for early diagnosis, disease progression tracking, and the development of personalized treatment programs."
44,31,PubMed,The clinical symptoms of Parkinson's disease.,https://pubmed.ncbi.nlm.nih.gov/27401947/,"In this review, the clinical features of Parkinson's disease, both motor and non-motor, are described in the context of the progression of the disease. Also briefly discussed are the major treatment strategies and their complications. Parkinson's disease is a slowly progressing neurodegenerative disorder, causing impaired motor function with slow movements, tremor and gait and balance disturbances. A variety of non-motor symptoms are common in Parkinson's disease. They include disturbed autonomic function with orthostatic hypotension, constipation and urinary disturbances, a variety of sleep disorders and a spectrum of neuropsychiatric symptoms. This article describes the different clinical symptoms that may occur and the clinical course of the disease. This article is part of a special issue on Parkinson disease."
45,32,PubMed,Progress towards therapies for disease modification in Parkinson's disease.,https://pubmed.ncbi.nlm.nih.gov/34146514/,"The development of interventions to slow or halt the progression of Parkinson's disease remains a priority for patients and researchers alike. To date, no agents have been shown to have unequivocal evidence of disease-modifying effects in Parkinson's disease. The absence of disease-modifying treatments might relate not only to inadequate approaches for the selection of therapeutic candidates but also to insufficient attention to detail in clinical trial design. Better understanding of Parkinson's disease pathogenesis associated with advances in laboratory models, the use of objective biomarkers of disease progression and target engagement, and a focus on agents known to be safe for human use, alongside the use of precision medicine approaches, should together greatly increase the likelihood for successful identification of disease-modifying treatments for Parkinson's disease."
46,32,PubMed,Progress towards therapies for disease modification in Parkinson's disease.,https://pubmed.ncbi.nlm.nih.gov/34146514/,"es, should together greatly increase the likelihood for successful identification of disease-modifying treatments for Parkinson's disease."
47,33,PubMed,Progression in Parkinson's Disease.,https://pubmed.ncbi.nlm.nih.gov/39929733/,"Parkinson's disease (PD) is a common neurodegenerative disorder characterized by relentlessly progressive motor and nonmotor clinical features. In this paper, we offer a comprehensive overview of progression in PD, covering the heterogeneous symptomatology crucial for monitoring progression from clinical, pathological, and biomarker perspectives. We also discuss prevailing theories concerning the underlying pathobiology driving progression in PD and summarize the literature on emerging biomarkers that are expected to facilitate early prognosis and effective monitoring of disease progression."
48,34,PubMed,Clinical criteria for subtyping Parkinson's disease: biomarkers and longitudinal progression.,https://pubmed.ncbi.nlm.nih.gov/28549077/,"Parkinson's disease varies widely in clinical manifestations, course of progression and biomarker profiles from person to person. Identification of distinct Parkinson's disease subtypes is of great priority to illuminate underlying pathophysiology, predict progression and develop more efficient personalized care approaches. There is currently no clear way to define and divide subtypes in Parkinson's disease. Using data from the Parkinson's Progression Markers Initiative, we aimed to identify distinct subgroups via cluster analysis of a comprehensive dataset at baseline (i.e. cross-sectionally) consisting of clinical characteristics, neuroimaging, biospecimen and genetic information, then to develop criteria to assign patients to a Parkinson's disease subtype. Four hundred and twenty-one individuals with de novo early Parkinson's disease were included from this prospective longitudinal mu"
49,34,PubMed,Clinical criteria for subtyping Parkinson's disease: biomarkers and longitudinal progression.,https://pubmed.ncbi.nlm.nih.gov/28549077/,"'s disease subtype. Four hundred and twenty-one individuals with de novo early Parkinson's disease were included from this prospective longitudinal multicentre cohort. Hierarchical cluster analysis was performed using data on demographic and genetic information, motor symptoms and signs, neuropsychological testing and other non-motor manifestations. The key classifiers in cluster analysis were a motor summary score and three non-motor features (cognitive impairment, rapid eye movement sleep behaviour disorder and dysautonomia). We then defined three distinct subtypes of Parkinson's disease patients: 223 patients were classified as 'mild motor-predominant' (defined as composite motor and all three non-motor scores below the 75th percentile), 52 as 'diffuse malignant' (composite motor score plus either ≥1/3 non-motor score >75th percentile, or all three non-motor scores >75th percentile) a"
50,34,PubMed,Clinical criteria for subtyping Parkinson's disease: biomarkers and longitudinal progression.,https://pubmed.ncbi.nlm.nih.gov/28549077/," 52 as 'diffuse malignant' (composite motor score plus either ≥1/3 non-motor score >75th percentile, or all three non-motor scores >75th percentile) and 146 as 'intermediate'. On biomarkers, people with diffuse malignant Parkinson's disease had the lowest level of cerebrospinal fluid amyloid-β (329.0 ± 96.7 pg/ml, P = 0.006) and amyloid-β/total-tau ratio (8.2 ± 3.0, P = 0.032). Data from deformation-based magnetic resonance imaging morphometry demonstrated a Parkinson's disease-specific brain network had more atrophy in the diffuse malignant subtype, with the mild motor-predominant subtype having the least atrophy. Although disease duration at initial visit and follow-up time were similar between subtypes, patients with diffuse malignant Parkinson's disease progressed faster in overall prognosis (global composite outcome), with greater decline in cognition and in dopamine functional neur"
51,34,PubMed,Clinical criteria for subtyping Parkinson's disease: biomarkers and longitudinal progression.,https://pubmed.ncbi.nlm.nih.gov/28549077/,"rkinson's disease progressed faster in overall prognosis (global composite outcome), with greater decline in cognition and in dopamine functional neuroimaging after an average of 2.7 years. In conclusion, we introduce new clinical criteria for subtyping Parkinson's disease based on a comprehensive list of clinical manifestations and biomarkers. This clinical subtyping can now be applied to individual patients for use in clinical practice using baseline clinical information. Even though all participants had a recent diagnosis of Parkinson's disease, patients with the diffuse malignant subtype already demonstrated a more profound dopaminergic deficit, increased atrophy in Parkinson's disease brain networks, a more Alzheimer's disease-like cerebrospinal fluid profile and faster progression of motor and cognitive deficits."
52,35,PubMed,Parkinson disease therapy: current strategies and future research priorities.,https://pubmed.ncbi.nlm.nih.gov/39496848/,"Parkinson disease (PD) is the fastest growing neurological disorder globally and poses substantial management challenges owing to progressive disability, emergence of levodopa-resistant symptoms, and treatment-related complications. In this Review, we examine the current state of research into PD therapies and outline future priorities for advancing our understanding and treatment of the disease. We identify two main research priorities for the coming years: first, slowing the progression of the disease through the integration of sensitive biomarkers and targeted biological therapies, and second, enhancing existing symptomatic treatments, encompassing surgical and infusion therapies, with the goal of postponing complications and improving long-term patient management. The path towards disease modification is impeded by the multifaceted pathophysiology and diverse mechanisms underlying PD"
53,35,PubMed,Parkinson disease therapy: current strategies and future research priorities.,https://pubmed.ncbi.nlm.nih.gov/39496848/,"ong-term patient management. The path towards disease modification is impeded by the multifaceted pathophysiology and diverse mechanisms underlying PD. Ongoing studies are directed at α-synuclein aggregation, complemented by efforts to address specific pathways associated with the less common genetic forms of the disease. The success of these efforts relies on establishing robust end points, incorporating technology, and identifying reliable biomarkers for early diagnosis and continuous monitoring of disease progression. In the context of symptomatic treatment, the focus should shift towards refining existing approaches and fostering the development of novel therapeutic strategies that target levodopa-resistant symptoms and clinical manifestations that substantially impair quality of life."
